order,table_id,filename,title,lookup_type,input_keys,output_keys,interpolate_key,source,row_count
1,Table_6_1,01_table_6_1.csv,Удельное выделение загрязняющих веществ от теплообменного оборудования и средств перекачки,multi_key_exact,"[""equipment"", ""product_group""]","[""Q_spec""]",,"{""document"": ""Методика расчёта выбросов для предприятий хранения и реализации нефтепродуктов..pdf"", ""section"": ""6.2"", ""table"": ""Таблица 6.1""}",35
2,Table_12,02_table_12.csv,Характеристики нефтепродуктов для расчета выбросов,multi_key_exact,"[""substance"", ""climate_zone""]","[""C1"", ""Uoz"", ""Uvl"", ""Knp"", ""J""]",,"{""document"": ""Методика расчёта выбросов для предприятий хранения и реализации нефтепродуктов..pdf"", ""section"": ""Приложение 12"", ""table"": ""Приложение 12""}",6
3,Table_15_tank,03_table_15_tank.csv,Концентрации паров при заполнении резервуаров АЗС,multi_key_exact,"[""substance"", ""climate_zone"", ""tank_type""]","[""C_tank_max"", ""C_tank_oz"", ""C_tank_vl""]",,"{""document"": ""Методика расчёта выбросов для предприятий хранения и реализации нефтепродуктов..pdf"", ""section"": ""Приложение 15"", ""table"": ""Заполнение резервуаров АЗС""}",12
4,Table_15_vehicle,04_table_15_vehicle.csv,Концентрации паров при заполнении баков автомобилей,multi_key_exact,"[""substance"", ""climate_zone""]","[""C_ba_oz"", ""C_ba_vl""]",,"{""document"": ""Методика расчёта выбросов для предприятий хранения и реализации нефтепродуктов..pdf"", ""section"": ""Приложение 15"", ""table"": ""Заполнение баков автомобилей""}",6
5,Table_Appendix_13,05_table_appendix_13.csv,Количество выделяющихся паров бензина при хранении (Gxp),multi_key_exact,"[""substance"", ""climate_zone"", ""tank_type"", ""tank_volume_cat""]","[""GXP""]",,"{""document"": ""Приказ 196"", ""section"": ""7.1"", ""table"": ""Приложение 13""}",14
