substance,climate_zone,C1,Uoz,Uvl,Knp,J
gasoline_auto,middle,972.0,780.0,1100.0,1.0,125.0
gasoline_auto,south,1176.12,967.2,1331.0,1.0,125.0
diesel,middle,3.14,1.9,2.6,0.0029,50.0
diesel,south,3.92,2.36,3.15,0.0029,50.0
oils,middle,0.324,0.2,0.2,0.00027,12.5
oils,south,0.39,0.25,0.25,0.00027,12.5
